[Pivot Middle Slice Random]: 11, 6, 22, 7, 10, 6, 10, 7, 11, 5, 12, 9, 6, 11, 6, 8, 7, 8, 6, 6, 6, 5, 10, 5, 9, 5, 8, 6, 8, 6
[Pivot Middle Slice Random]: 524, 512, 512, 512, 517, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512
[Pivot Middle Slice Inverse]: 1548, 779, 730, 720, 719, 724, 712, 725, 799, 753, 717, 721, 710, 711, 724, 739, 721, 725, 715, 740, 720, 720, 712, 724, 726, 721, 722, 722, 715, 721
[Pivot Middle Slice Inverse]: 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 557, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512
[Pivot Middle Slice Nearly]: 675, 675, 672, 672, 671, 686, 721, 673, 682, 680, 676, 675, 672, 675, 666, 689, 663, 681, 684, 681, 677, 810, 675, 671, 676, 672, 678, 666, 685, 678
[Pivot Middle Slice Nearly]: 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 533, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 528
[Pivot Middle Slice Block]: 261, 301, 187, 283, 146, 185, 195, 369, 365, 191, 179, 208, 109, 326, 221, 218, 126, 207, 300, 253, 183, 213, 225, 169, 167, 195, 115, 188, 152, 160
[Pivot Middle Slice Block]: 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025
[Pivot First Slice Random]: 6, 6, 5, 6, 7, 5, 9, 5, 10, 5, 6, 5, 7, 6, 5, 8, 5, 8, 5, 6, 7, 5, 7, 5, 5, 7, 5, 7, 6, 5
[Pivot First Slice Random]: 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512
[Pivot First Slice Inverse]: 1524, 1439, 1461, 1433, 1462, 1438, 1449, 1460, 1431, 1429, 1456, 1475, 1518, 1435, 1432, 1447, 1452, 1443, 1441, 1433, 1456, 1430, 1443, 1458, 1443, 1455, 1446, 1449, 1445, 1463
[Pivot First Slice Inverse]: 512, 512, 520, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 520, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512
[Pivot First Slice Nearly]: 919, 939, 929, 1102, 1016, 936, 922, 943, 912, 916, 938, 925, 922, 919, 951, 924, 921, 922, 931, 928, 922, 911, 929, 909, 906, 906, 906, 904, 932, 939
[Pivot First Slice Nearly]: 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 529, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512
[Pivot First Slice Block]: 345, 474, 422, 342, 189, 304, 488, 306, 222, 344, 342, 269, 510, 352, 258, 282, 374, 221, 335, 400, 280, 286, 475, 328, 565, 278, 273, 205, 202, 206
[Pivot First Slice Block]: 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1041, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025
